Any,Regió Sanitària,Àrea Bàsica de Salut,Població assegurada oficial CatSalut
2018,LLEIDA,AGRAMUNT,6480
2018,LLEIDA,ALCARRÀS,13431
2018,LLEIDA,ALFARRÀS/ALMENAR,9777
2018,LLEIDA,ARTESA DE SEGRE,4023
2018,LLEIDA,BALAGUER,27732
2018,LLEIDA,BELLPUIG,6986
2018,LLEIDA,LES BORGES BLANQUES,15834
2018,LLEIDA,CERVERA,20418
2018,LLEIDA,LA GRANADELLA,2498
2018,LLEIDA,LLEIDA 1 CENTRE HISTÒRIC-RAMBLA FERRAN,17652
2018,LLEIDA,LLEIDA 2 RONDA-MARIOLA,25639
2018,LLEIDA,LLEIDA 3 EIXAMPLE,21418
2018,LLEIDA,LLEIDA 4 BALÀFIA-PARDINYES,27141
2018,LLEIDA,LLEIDA 5 CAPPONT,15727
2018,LLEIDA,LLEIDA 6 BORDETA-MAGRANERS,16347
2018,LLEIDA,LLEIDA RURAL 1-NORD,23138
2018,LLEIDA,PLA D'URGELL,37527
2018,LLEIDA,PONTS,3662
2018,LLEIDA,SERÒS,6856
2018,LLEIDA,TÀRREGA,23199
2018,LLEIDA,LLEIDA RURAL 2-SUD,7504
2018,LLEIDA,ALMACELLES,8803
2018,LLEIDA,LLEIDA 7 ONZE DE SETEMBRE,16278
2018,CAMP DE TARRAGONA,EL VENDRELL,46310
2018,CAMP DE TARRAGONA,LES BORGES DEL CAMP,6506
2018,CAMP DE TARRAGONA,CAMBRILS,32957
2018,CAMP DE TARRAGONA,CONSTANTÍ,6724
2018,CAMP DE TARRAGONA,CORNUDELLA DE MONTSANT,2188
2018,CAMP DE TARRAGONA,FALSET,6669
2018,CAMP DE TARRAGONA,MONTBLANC,15956
2018,CAMP DE TARRAGONA,MONT-ROIG DEL CAMP,12592
2018,CAMP DE TARRAGONA,EL MORELL,11924
2018,CAMP DE TARRAGONA,RIUDOMS,12439
2018,CAMP DE TARRAGONA,TARRAGONA 1,14602
2018,CAMP DE TARRAGONA,TARRAGONA 2,27732
2018,CAMP DE TARRAGONA,TARRAGONA 3,30097
2018,CAMP DE TARRAGONA,TARRAGONA 4,15808
2018,CAMP DE TARRAGONA,TARRAGONA 5,16472
2018,CAMP DE TARRAGONA,TARRAGONA 6,19350
2018,CAMP DE TARRAGONA,TORREDEMBARRA,35354
2018,CAMP DE TARRAGONA,ALT CAMP EST,11646
2018,CAMP DE TARRAGONA,VALLS URBÀ,27023
2018,CAMP DE TARRAGONA,REUS 1,13415
2018,CAMP DE TARRAGONA,REUS 2,26967
2018,CAMP DE TARRAGONA,REUS 3,22409
2018,CAMP DE TARRAGONA,REUS 4,21360
2018,CAMP DE TARRAGONA,REUS 5,27326
2018,CAMP DE TARRAGONA,BAIX PENEDÈS - INTERIOR,14697
2018,CAMP DE TARRAGONA,VANDELLÒS I L'HOSPITALET DE L'INFANT,5693
2018,CAMP DE TARRAGONA,ALT CAMP OEST,6198
2018,CAMP DE TARRAGONA,SALOU,25704
2018,CAMP DE TARRAGONA,VILA-SECA,21496
2018,CAMP DE TARRAGONA,TARRAGONA-7 (SANT SALVADOR),11268
2018,CAMP DE TARRAGONA,LA SELVA DEL CAMP,7140
2018,CAMP DE TARRAGONA,CALAFELL,23216
2018,CAMP DE TARRAGONA,TARRAGONA-8,15623
2018,TERRES DE L'EBRE,AMPOSTA,30567
2018,TERRES DE L'EBRE,DELTEBRE,11710
2018,TERRES DE L'EBRE,FLIX,7572
2018,TERRES DE L'EBRE,MÓRA LA NOVA - MÓRA D'EBRE,13974
2018,TERRES DE L'EBRE,L'AMETLLA DE MAR - EL PERELLÓ,9180
2018,TERRES DE L'EBRE,SANT CARLES DE LA RÀPITA,23670
2018,TERRES DE L'EBRE,TERRA ALTA,11119
2018,TERRES DE L'EBRE,TORTOSA 1 - EST,23241
2018,TERRES DE L'EBRE,TORTOSA 2 - OEST,23625
2018,TERRES DE L'EBRE,ULLDECONA,12048
2018,TERRES DE L'EBRE,L'ALDEA - CAMARLES - L'AMPOLLA,10351
2018,GIRONA,ANGLÈS,12071
2018,GIRONA,ARBÚCIES/SANT HILARI,12244
2018,GIRONA,BANYOLES,31899
