age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
5,management,married,tertiary,no,2143,yes,no,unknown,5,may,4,1,-1,0,unknown,no
4,technician,single,secondary,no,29,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,1,1,-1,0,unknown,no
2,management,married,tertiary,no,231,yes,no,unknown,5,may,2,1,-1,0,unknown,no
1,management,single,tertiary,no,447,yes,yes,unknown,5,may,3,1,-1,0,unknown,no
4,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,retired,married,primary,no,121,yes,no,unknown,5,may,1,1,-1,0,unknown,no
4,technician,single,secondary,no,593,yes,no,unknown,5,may,1,1,-1,0,unknown,no
3,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,4,1,-1,0,unknown,no
1,admin.,single,secondary,no,390,yes,no,unknown,5,may,2,1,-1,0,unknown,no
5,technician,married,secondary,no,6,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,services,married,secondary,no,162,yes,no,unknown,5,may,3,1,-1,0,unknown,no
5,retired,married,primary,no,229,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,blue-collar,married,primary,no,52,yes,no,unknown,5,may,1,1,-1,0,unknown,no
5,retired,married,primary,no,60,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,services,married,secondary,no,0,yes,no,unknown,5,may,1,1,-1,0,unknown,no
1,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,4,1,-1,0,unknown,no
5,management,married,tertiary,no,779,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,3,1,-1,0,unknown,no
1,services,married,secondary,no,50,yes,no,unknown,5,may,4,1,-1,0,unknown,no
3,retired,married,primary,no,0,yes,yes,unknown,5,may,3,1,-1,0,unknown,no
4,admin.,married,secondary,no,-372,yes,no,unknown,5,may,3,1,-1,0,unknown,no
3,management,single,tertiary,no,255,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,2,1,-1,0,unknown,no
4,management,single,secondary,no,-246,yes,no,unknown,5,may,4,2,-1,0,unknown,no
3,technician,single,secondary,no,265,yes,yes,unknown,5,may,4,1,-1,0,unknown,no
5,technician,married,secondary,no,839,no,yes,unknown,5,may,4,1,-1,0,unknown,no
4,management,married,tertiary,no,378,yes,no,unknown,5,may,4,1,-1,0,unknown,no
