"NumInvoices","NumCancellations","TotalCost","NumStocks","Days","DiffInvoices"
1,1,0,1,325.1,0
7,0,4310,103,1.9,7
4,0,1797.24,22,75,4
1,0,1757.55,73,18.1,1
1,0,334.4,17,309.9,1
8,3,1545.41,59,35.9,5
1,0,89,4,203.8,1
1,0,1079.4,58,232,1
1,0,459.4,13,214,1
3,0,2811.43,53,22.2,3
1,0,6207.67,131,32.9,1
2,0,1168.06,13,1.1,2
4,2,6245.53,214,7.1,2
3,0,2662.06,105,51.9,3
1,0,189.9,10,287,1
10,3,5154.58,201,2.9,7
2,0,552,23,109.1,2
4,0,1313.1,70,7.1,4
2,1,320.69,22,290.9,1
1,0,168.9,11,3.8,1
4,0,3545.69,143,51,4
2,0,1887.96,63,44.1,2
3,0,1298.04,34,71.1,3
1,0,364.6,14,311,1
1,0,742.93,33,24.9,1
2,1,455.42,14,2.1,1
2,0,1628.12,72,314.9,2
1,0,4008.62,219,129.1,1
2,1,850.29,39,81.2,1
4,1,2720.56,77,21.1,3
5,1,1803.96,70,4,4
5,1,1839.31,84,184.2,4
2,1,566.16,26,28.2,1
2,0,401.9,10,337,2
6,0,2780.66,57,15,6
1,0,549.84,32,79.2,1
1,0,460.89,92,21,1
4,0,1582.6,47,71.9,4
2,0,1272.48,26,63.2,2
12,3,2998.28,91,15,9
2,0,2409.9,110,35.1,2
1,0,1635.66,85,45.1,1
4,0,1108.65,47,119,4
1,0,84.3,5,303,1
1,0,225.6,11,323,1
1,1,409.7,5,49.1,0
1,0,1710.39,54,148.2,1
2,1,3280.75,92,21.7,1
5,0,1708.12,57,49.2,5
5,4,2842.57,81,32,1
3,4,11056.93,91,78.1,-1
2,1,681.08,26,300.9,1
3,0,1226.88,43,74.1,3
3,2,694.15,29,66.2,1
3,0,562.41,16,217,3
21,5,123725.45,444,23.9,16
9,3,3578.8,158,2.9,6
1,0,668.58,34,112.1,1
1,0,600.39,29,63.2,1
4,1,806.27,32,15.2,3
3,0,803.56,39,95.2,3
8,1,1849.11,97,0.1,7
2,0,1760.96,30,162.1,2
1,0,777.2,36,77.8,1
1,0,582.73,30,194.1,1
3,2,708.37,26,11.1,1
9,3,7877.2,258,25.2,6
4,0,3750.4,82,8.8,4
1,0,256.4,11,42.9,1
15,3,6416.39,163,35,12
5,0,5059.32,107,42.1,5
7,0,13375.87,219,0.1,7
2,2,765.19,46,84,0
2,0,7829.89,31,79.2,2
1,0,509.01,16,99.1,1
18,1,4896.66,119,1.1,17
2,0,2906.85,84,14,2
1,0,173.55,11,366.1,1
1,0,172.06,12,2.9,1
5,0,5005.46,138,21,5
1,0,133.4,4,21.8,1
1,0,1002.31,58,57,1
1,0,476.49,26,243,1
1,0,449.45,22,44,1
4,0,4067.29,118,22,4
2,0,197.88,7,156,2
5,1,8933.52,265,10.2,4
2,1,428.57,21,16.1,1
1,0,707.09,43,134,1
1,1,0,15,52.9,0
6,0,2466.86,85,72.9,6
3,1,3153.89,105,44,2
7,5,1917.78,53,58,2
2,0,947.4,35,70.9,2
2,0,826.88,35,93.9,2
2,2,1124.01,51,2,0
4,3,1303.63,65,46,1
8,0,1212.05,6,10,8
2,1,733.89,46,7.1,1
2,1,724.04,36,143,1
30,19,18740.92,150,1.9,11
7,6,6229.48,219,30.1,1
5,4,2848.23,140,29,1
18,12,7116.47,253,16.9,6
1,0,723.38,36,53.2,1
11,9,6546.58,177,0.9,2
6,3,13117.01,191,22.1,3
1,0,680.99,36,3.1,1
1,2,477.3,31,3.1,-1
4,0,3281.63,129,27.9,4
10,1,5590.86,150,22.2,9
8,5,2327.13,46,16.8,3
6,2,4495.27,256,32.1,4
3,0,1298.66,46,9.2,3
1,0,334.93,15,336,1
10,0,5417.93,131,4.9,10
1,0,460.4,25,38,1
2,0,263.21,19,62.9,2
2,1,416.79,20,165.1,1
7,6,1139.35,63,9.1,1
1,0,1043.1,14,81.1,1
3,0,403.7,21,21,3
11,2,4206.27,34,22.9,9
1,1,2089.68,149,315,0
5,0,3723.87,102,95.1,5
0,1,-1126,0,337,-1
2,2,114,6,17.9,0
0,1,-4.5,0,301,-1
1,0,73.5,23,232.2,1
3,1,1258.06,19,133.9,2
2,0,398.27,57,25.9,2
1,0,176.5,7,283.9,1
2,0,982.57,29,142.1,2
2,0,138.03,31,66,2
1,1,586.79,35,84,0
1,0,1017.68,51,266.8,1
1,0,383.7,16,352.9,1
2,0,1312.06,20,77.2,2
5,1,2464.89,232,27.9,4
5,0,2056.89,84,0.1,5
1,0,340.84,17,63.2,1
5,1,2582.51,121,78.9,4
1,0,599.68,38,142.1,1
2,0,192.72,11,38.9,2
11,2,1745.57,84,1,9
8,0,4485.72,113,8.9,8
3,0,1316.66,64,0,3
3,0,348.71,18,81.1,3
6,2,1922.28,50,8.9,4
4,1,1623.63,51,59.1,3
1,0,125.22,17,14.1,1
1,0,349.83,16,30,1
1,0,1089.18,63,130.1,1
2,0,716.35,28,91.2,2
3,2,4106.82,260,7,1
1,0,363.95,21,28.8,1
4,1,3852.5,157,22,3
17,2,13309.04,277,19.1,15
3,0,981.18,46,29.1,3
1,1,355.7,19,29.1,0
2,0,1000.39,42,75,2
2,1,1141.5,59,46.1,1
2,0,207.8,7,197,2
1,0,95.2,5,165.9,1
1,0,964.83,57,79,1
1,0,168,10,357.1,1
2,0,437.82,20,38.1,2
10,4,3652.25,95,7.8,6
2,0,603.71,100,50,2
5,0,11990.96,15,15.8,5
1,1,0,11,1.1,0
2,1,536.21,21,310.1,1
3,1,2101.39,91,5,2
1,0,238.85,16,302,1
7,0,3781.74,99,7.8,7
1,0,456.9,21,260.9,1
1,1,131.17,9,281,0
1,1,346.7,19,72.2,0
10,1,9114.94,323,22.1,9
32,3,4064.99,92,1.9,29
2,0,519.61,31,39.1,2
2,1,1004.72,53,8.1,1
1,0,160.54,26,226.9,1
1,0,218.45,11,315.1,1
5,1,1306.98,72,35.1,4
3,1,595.4,137,35,2
2,2,2753.36,111,21,0
1,2,410.72,29,73,-1
1,0,415.7,24,246.1,1
1,0,197.71,15,39.2,1
2,0,511.36,21,238.2,2
15,3,7187.34,115,2.2,12
9,9,1893.95,44,3.1,0
2,2,1982.81,77,234,0
1,1,179.94,11,16.9,0
1,0,144,4,7,1
1,0,214.9,10,38.9,1
2,0,646.68,29,28.1,2
2,1,9861.38,68,190,1
1,0,452.85,26,316.9,1
2,0,437.6,11,91.9,2
3,0,418.1,14,108,3
10,1,3320.22,50,37,9
2,0,618.27,25,51,2
4,1,3683.13,184,19,3
8,1,3002.68,84,9,7
7,0,1032.58,32,29,7
10,1,2581.04,32,28.1,9
5,1,569.56,21,189.1,4
1,0,153.12,12,58.1,1
1,0,739.2,3,21.1,1
2,0,254.18,15,79,2
0,1,-7.5,0,364.9,-1
1,1,0,101,57.9,0
3,0,1126.85,57,77.9,3
5,2,2057.99,85,22.1,3
1,0,1193.32,65,52,1
1,1,643.59,19,57.1,0
5,1,3218.98,124,31,4
1,0,315.6,20,277.1,1
4,0,2291.19,82,1.9,4
2,3,657.25,25,84.9,-1
1,0,355.53,39,28.9,1
1,0,177.31,11,21.1,1
9,4,3214.81,50,15.9,5
3,0,1339.41,89,14.1,3
20,3,13612.07,261,1.1,17
1,0,180.1,11,231.9,1
1,0,305.1,18,276,1
2,0,641.13,36,105.9,2
2,1,2614.32,73,211.2,1
9,4,6388.35,232,22.9,5
7,0,4478.53,162,10,7
3,1,769.61,34,4,2
2,0,1270.88,60,9.1,2
1,0,640.5,31,57,1
4,1,2140.63,73,58.1,3
2,0,1689.18,96,89.1,2
8,2,5953.25,205,67,6
1,0,671.69,39,33,1
1,0,486.1,22,238,1
3,0,1174.58,47,23,3
1,0,185.9,10,115,1
3,0,1013.26,39,24.9,3
6,0,3344.64,11,128,6
1,0,477.91,31,129.1,1
4,1,1755.38,58,33,3
2,0,1346.97,43,4.1,2
12,1,3669.92,79,22,11
1,0,318.05,21,154.1,1
3,1,603.71,28,107,2
1,0,314.44,20,2.8,1
1,0,114,9,334,1
1,1,914.53,48,321.8,0
2,0,2209.85,37,148.1,2
5,0,601.98,31,10.1,5
5,3,3982.72,89,17,2
4,1,1152.06,35,10.9,3
1,0,686.05,36,18.1,1
1,0,91.68,5,29,1
1,0,245.1,13,11,1
11,1,3817.08,129,0,10
9,1,4863.88,10,7.8,8
1,1,61.75,3,324.2,0
0,1,-227.44,0,358.9,-1
1,0,620.13,33,57.9,1
4,2,3743.18,115,6.9,2
3,1,1607.73,98,150.2,2
5,1,2986.15,58,9.9,4
1,0,225.9,10,329.1,1
2,0,610.52,42,5,2
4,3,1919.31,52,11,1
6,0,1331.39,33,24,6
12,1,17588.26,105,42,11
4,5,1058.67,43,52,-1
4,0,862.81,33,0,4
22,5,13677.59,267,14.1,17
31,0,12288.22,209,3.1,31
15,5,8221.09,177,3.8,10
7,0,2283.63,61,7.1,7
6,0,2863.08,117,28,6
1,0,89.14,7,371.1,1
1,0,4873.81,171,113.2,1
2,0,1247.61,57,25.2,2
1,0,389.01,16,205.2,1
6,0,1035.8,21,27.8,6
4,2,830.96,35,120.2,2
2,0,869.67,32,70,2
4,0,582.1,23,7,4
3,2,939.02,37,20.9,1
4,2,4867.99,193,7.1,2
2,0,797.71,50,79.1,2
1,0,219,12,19.1,1
1,1,274.7,21,63.8,0
8,2,2220.84,64,7,6
9,5,6814.24,228,15,4
1,0,603.42,33,291.2,1
10,6,2616.32,86,29.1,4
15,11,9294.1,93,2.8,4
3,1,1130.57,75,96.1,2
13,4,4241.63,58,22.1,9
1,0,848.55,38,0,1
5,0,4708.86,216,8.9,5
1,0,353.86,20,105.9,1
2,0,1053.49,60,3.2,2
2,1,980.98,49,151,1
1,0,238.25,19,70.9,1
