COUNTRY,Total Transplants
Afghanistan,132.0
Albania,94.0
Algeria,1710.0
Andorra,0.0
Angola,0.0
Antigua and Barbuda,0.0
Argentina,30727.0
Armenia,259.0
Australia,28766.0
Austria,16304.0
Azerbaijan,493.0
Bahamas,0.0
Bahrain,2.0
Bangladesh,1025.0
Barbados,1.0
Belarus,5206.0
Belgium,20287.0
Belize,0.0
Benin,0.0
Bhutan,0.0
Bolivia (Plurinational State of),963.0
Bosnia and Herzegovina,131.0
Botswana,0.0
Brazil,127858.0
Brunei Darussalam,0.0
Bulgaria,990.0
Burkina Faso,0.0
Burundi,0.0
Cambodia,0.0
Cameroon,0.0
Canada,51636.0
Cape Verde,0.0
Central African Republic,0.0
Chad,0.0
Chile,7177.0
China,235418.0
Colombia,19700.0
Comoros,0.0
Congo,0.0
Cook Islands,0.0
Costa Rica,1656.0
Croatia,5783.0
Cuba,2998.0
Cyprus,742.0
Czech Republic,14233.0
Côte d’Ivoire,0.0
Democratic People's Republic of Korea,0.0
Democratic Republic of The Congo,0.0
Denmark,7368.0
Djibouti,0.0
Dominica,0.0
Dominican Republic,1087.0
Ecuador,2383.0
Egypt,14366.0
El Salvador,457.0
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,1139.0
Eswatini,0.0
Ethiopia,153.0
Fiji,1.0
Finland,6928.0
France,101957.0
Gabon,0.0
Gambia,0.0
Georgia,477.0
Germany,85524.0
Ghana,15.0
Greece,4804.0
Grenada,0.0
Guatemala,1632.0
Guinea,0.0
Guinea-Bissau,0.0
Guyana,0.0
Haiti,0.0
Honduras,41.0
Hungary,8628.0
Iceland,145.0
India,128061.0
Indonesia,3461.0
Iran (Islamic Republic of),53833.0
Iraq,0.0
Ireland,5008.0
Israel,8466.0
Italy,71383.0
Jamaica,7.0
Japan,38140.0
Jordan,2853.0
Kazakhstan,2376.0
Kenya,839.0
Kiribati,0.0
Kuwait,1555.0
Kyrgyzstan,34.0
Lao People's Democratic Republic ,0.0
Latvia,1465.0
Lebanon,782.0
Lesotho,0.0
Liberia,0.0
Libyan Arab Jamahiriya,897.0
Lithuania,2047.0
Luxembourg,95.0
Madagascar,0.0
Malawi,0.0
Malaysia,1480.0
Maldives,0.0
Mali,0.0
Malta,270.0
Marshall Islands,0.0
Mauritania,0.0
Mauritius,104.0
Mexico,48633.0
Micronesia (Federated States of),0.0
Monaco,0.0
Mongolia,618.0
Montenegro,30.0
Morocco,294.0
Mozambique,0.0
Myanmar,127.0
Namibia,0.0
Nauru,0.0
Nepal,638.0
Netherlands,24762.0
New Zealand,4262.0
Nicaragua,105.0
Niger,0.0
Nigeria,1353.0
Niue,0.0
Norway,8498.0
Oman,169.0
Pakistan,21318.0
Palau,0.0
Panama,784.0
Papua New Guinea,0.0
Paraguay,562.0
Peru,2589.0
Philippines,9013.0
Poland,31014.0
Portugal,16720.0
Qatar,446.0
Republic of Korea,50779.0
Republic of Moldova,169.0
Republic of North Macedonia,233.0
Romania,6023.0
Russian Federation,20030.0
Rwanda,0.0
Saint Kitts and Nevis,0.0
Saint Lucia,0.0
Saint Vincent and the Grenadines,0.0
Samoa,0.0
San Marino,0.0
Sao Tome and Principe,0.0
Saudi Arabia,16787.0
Senegal,0.0
Serbia,513.0
Seychelles,0.0
Sierra Leone,0.0
Singapore,2062.0
Slovakia,3907.0
Slovenia,2002.0
Solomon Islands,0.0
Somalia,0.0
South Africa,4567.0
South Sudan,0.0
Spain,95871.0
Sri Lanka,2379.0
Sudan,2597.0
Suriname,0.0
Sweden,14941.0
Switzerland,10883.0
Syrian Arab Republic,4587.0
Tajikistan,164.0
Thailand,10265.0
Timor-Leste,0.0
Togo,0.0
Tonga,0.0
Trinidad and Tobago,42.0
Tunisia,1430.0
Turkmenistan,0.0
Tuvalu,0.0
Türkiye ,72049.0
Uganda,0.0
Ukraine,700.0
United Arab Emirates,789.0
United Kingdom,80729.0
United Republic of Tanzania,8.0
United States of America,685419.0
Uruguay,2814.0
Uzbekistan,26.0
Vanuatu,0.0
Venezuela (Bolivarian Republic of),3319.0
Viet Nam,890.0
Yemen,0.0
Zambia,0.0
Zimbabwe,0.0
