COUNTRY,Total Transplants,POPULATION,Transplants per Capita
Afghanistan,132.0,290.375,0.454584588893672
Albania,94.0,31.157894736842106,3.0168918918918917
Algeria,1710.0,322.3157894736842,5.305355976485957
Andorra,0.0,1.0,0.0
Angola,0.0,159.0,0.0
Antigua and Barbuda,0.0,1.0,0.0
Argentina,30727.0,381.04347826086956,80.639091738932
Armenia,259.0,18.130434782608695,14.28537170263789
Australia,28766.0,206.2173913043478,139.4935694707991
Austria,16304.0,77.6086956521739,210.0795518207283
Azerbaijan,493.0,88.23529411764706,5.5873333333333335
Bahamas,0.0,3.2,0.0
Bahrain,2.0,8.666666666666666,0.23076923076923078
Bangladesh,1025.0,1534.5263157894738,0.6679585677047606
Barbados,1.0,3.0,0.3333333333333333
Belarus,5206.0,96.30434782608695,54.05778781038375
Belgium,20287.0,108.8695652173913,186.34225239616615
Belize,0.0,2.7333333333333334,0.0
Benin,0.0,78.33333333333333,0.0
Bhutan,0.0,14.8125,0.0
Bolivia (Plurinational State of),963.0,91.95238095238095,10.47281201450026
Bosnia and Herzegovina,131.0,38.78260869565217,3.3778026905829597
Botswana,0.0,12.533333333333333,0.0
Brazil,127858.0,1800.695652173913,71.00478076105853
Brunei Darussalam,0.0,3.8,0.0
Bulgaria,990.0,68.56521739130434,14.438807863031073
Burkina Faso,0.0,119.8,0.0
Burundi,0.0,80.6,0.0
Cambodia,0.0,142.66666666666666,0.0
Cameroon,0.0,153.0,0.0
Canada,51636.0,317.7826086956522,162.48843891093173
Cape Verde,0.0,4.8,0.0
Central African Republic,0.0,39.6,0.0
Chad,0.0,97.2,0.0
Chile,7177.0,159.52173913043478,44.99073316980104
China,235418.0,1362.8608695652174,172.73810207428107
Colombia,19700.0,453.7826086956522,43.412858100986874
Comoros,0.0,7.666666666666667,0.0
Congo,0.0,36.0,0.0
Cook Islands,0.0,0.0,
Costa Rica,1656.0,41.04347826086956,40.347457627118644
Croatia,5783.0,43.69565217391305,132.34726368159204
Cuba,2998.0,113.1304347826087,26.500384319754033
Cyprus,742.0,9.91304347826087,74.85087719298247
Czech Republic,14233.0,104.43478260869566,136.28601165695252
Côte d’Ivoire,0.0,187.33333333333334,0.0
Democratic People's Republic of Korea,0.0,191.6,0.0
Democratic Republic of The Congo,0.0,571.4,0.0
Denmark,7368.0,55.65217391304348,132.39375
Djibouti,0.0,7.866666666666666,0.0
Dominica,0.0,0.9333333333333333,0.0
Dominican Republic,1087.0,87.1304347826087,12.475548902195607
Ecuador,2383.0,138.17391304347825,17.246381371932035
Egypt,14366.0,644.0,22.30745341614907
El Salvador,457.0,61.0,7.491803278688525
Equatorial Guinea,0.0,5.866666666666666,0.0
Eritrea,0.0,43.2,0.0
Estonia,1139.0,13.130434782608695,86.74503311258279
Eswatini,0.0,8.533333333333333,0.0
Ethiopia,153.0,753.304347826087,0.20310515987533187
Fiji,1.0,8.470588235294118,0.11805555555555555
Finland,6928.0,53.69565217391305,129.02348178137652
France,101957.0,602.5217391304348,169.21713089911964
Gabon,0.0,14.4,0.0
Gambia,0.0,16.133333333333333,0.0
Georgia,477.0,34.0,14.029411764705882
Germany,85524.0,727.8695652173913,117.49907412938296
Ghana,15.0,195.23529411764707,0.07683037059355227
Greece,4804.0,96.73913043478261,49.65932584269663
Grenada,0.0,1.0,0.0
Guatemala,1632.0,138.34782608695653,11.796354494028911
Guinea,0.0,89.06666666666666,0.0
Guinea-Bissau,0.0,15.333333333333334,0.0
Guyana,0.0,7.8,0.0
Haiti,0.0,86.46666666666667,0.0
Honduras,41.0,78.1,0.5249679897567222
