2_YEAR_INTERVAL,Liver per Capita,Liver per Capita,Liver per Capita,Liver per Capita,Liver per Capita,Liver per Capita,Kidney per Capita,Kidney per Capita,Kidney per Capita,Kidney per Capita,Kidney per Capita,Kidney per Capita,Lung per Capita,Lung per Capita,Lung per Capita,Lung per Capita,Lung per Capita,Lung per Capita,Heart per Capita,Heart per Capita,Heart per Capita,Heart per Capita,Heart per Capita,Heart per Capita
,Africa,America,Eastern Mediterranean,Europe,South-East Asia,Western Pacific,Africa,America,Eastern Mediterranean,Europe,South-East Asia,Western Pacific,Africa,America,Eastern Mediterranean,Europe,South-East Asia,Western Pacific,Africa,America,Eastern Mediterranean,Europe,South-East Asia,Western Pacific
2000,0.0,760.5555555555555,0.5411764705882353,1096.967741935484,0.0,38.93421052631579,0.0,2081.9444444444443,2.4,1840.4354838709676,0.0,152.55263157894737,0.0,148.40277777777777,0.11764705882352941,166.19354838709677,0.0,23.736842105263158,0.0,332.3611111111111,0.5411764705882353,477.01612903225805,0.0,18.092105263157894
2002,0.0,188.57366771159874,5.0,1000.6486486486486,0.0,39.12037037037037,0.0,500.4858934169279,121.84931506849315,2158.7905405405404,0.0,157.32407407407405,0.0,38.44827586206897,0.136986301369863,187.53378378378378,0.0,23.11111111111111,0.0,71.55172413793103,2.191780821917808,369.0067567567567,0.0,23.35185185185185
2004,2.456140350877193,285.1317494600432,12.342105263157896,4328.666666666667,,1997.3076923076924,51.228070175438596,850.07343412527,271.92105263157896,12032.666666666666,,5476.846153846154,0.7017543859649122,50.33261339092873,0.34210526315789475,770.0,,49.84615384615385,0.0,43.71490280777538,0.6052631578947368,708.6666666666666,,52.15384615384616
2006,3.488721804511278,245.79831932773106,27.47826086956522,1337.8461538461538,2.1923076923076925,1612.6666666666667,30.917293233082706,730.3641456582633,458.5507246376812,3639.6686390532545,30.76923076923077,4574.444444444444,0.7218045112781954,25.882352941176467,0.6956521739130435,251.8343195266272,0.038461538461538464,51.111111111111114,2.827067669172932,75.98039215686273,4.63768115942029,419.31360946745565,0.38461538461538464,60.44444444444444
2008,4.957627118644068,2168.375,13.673469387755103,1612.1342281879195,5.792857142857143,696.8356164383562,73.22033898305085,6781.125,183.2482993197279,4458.416107382551,90.14285714285714,1976.013698630137,0.9915254237288136,454.875,0.1870748299319728,316.3489932885906,0.0,35.38356164383561,3.8898305084745766,693.25,2.2448979591836737,473.4496644295302,0.16428571428571428,54.56164383561644
2010,3.3790613718411553,2501.3793103448274,,2555.098591549296,58.62222222222222,496.6547085201794,37.86281588447654,8023.586206896552,,7231.492957746479,550.8444444444444,1220.4484304932735,0.3465703971119134,580.8275862068965,,534.9718309859155,0.044444444444444446,29.38116591928251,2.252707581227437,797.9310344827586,,712.6760563380282,1.6888888888888889,40.11659192825112
2012,12.933333333333334,3130.8333333333335,37.00787401574803,991.1939655172414,39.69387755102041,inf,133.86666666666667,10141.333333333334,204.39370078740157,2752.2456896551726,238.6122448979592,inf,2.0,768.1666666666666,0.9291338582677166,218.92672413793102,0.4897959183673469,inf,6.533333333333333,1068.3333333333333,3.4488188976377954,263.0258620689655,1.4285714285714286,inf
2014,16.0,177.3913043478261,165.6923076923077,6093.0,67.33333333333333,528.8961038961039,114.75,545.2869565217392,667.3269230769231,16569.0,288.68817204301075,1366.422077922078,2.375,41.99130434782609,4.673076923076923,1288.2857142857142,1.5483870967741935,46.46103896103896,5.75,61.165217391304346,14.423076923076923,1665.3214285714284,4.688172043010753,57.7987012987013
2016,1.504,5818.75,27.330960854092524,565.4166666666666,55.666666666666664,234.66666666666666,8.576,17148.25,105.87544483985765,1500.25,226.7391304347826,571.1372549019608,0.24533333333333332,1462.5,0.7900355871886121,119.44444444444444,2.608695652173913,23.058823529411764,0.5973333333333334,2043.75,3.5124555160142346,148.05555555555554,7.086956521739131,25.862745098039216
2018,1.0918367346938775,1945.4615384615386,36.68292682926829,527.8846153846154,,536.9375,11.989795918367347,5851.615384615385,134.21951219512195,1391.2664835164835,,1156.71875,0.23469387755102042,500.15384615384613,1.1341463414634145,113.81043956043956,,55.1875,0.42857142857142855,675.3076923076923,4.195121951219512,140.6620879120879,,61.5
2020,0.023529411764705882,212.20439189189187,51.29032258064516,1497.1812080536913,69.62857142857143,147.14414414414415,9.08235294117647,584.4003378378378,158.04301075268816,3672.4026845637586,238.05714285714285,305.963963963964,0.0,51.89189189189189,1.4408602150537635,309.5838926174497,2.8857142857142857,19.414414414414413,0.0,76.16554054054053,6.236559139784946,391.8120805369128,4.242857142857143,18.396396396396398
2022,,658.377049180328,67.29629629629629,1405.7142857142858,,,,1929.0,235.7037037037037,3618.4285714285716,,,,162.9344262295082,2.037037037037037,296.14285714285717,,,,245.7049180327869,6.814814814814815,349.14285714285717,,
