COUNTRY,Total Utilized DD,TOTAL Actual DD
Austria,168.0,182.0
Belarus,211.0,218.0
Belgium,280.0,312.0
Bosnia and Herzegovina,1.0,1.0
Bulgaria,14.0,17.0
Croatia,112.0,121.0
Cyprus,5.0,5.0
Czech Republic,242.0,268.0
Denmark,101.0,105.0
Estonia,21.0,21.0
Finland,119.0,122.0
France,1589.0,1614.0
Germany,900.0,933.0
Greece,45.0,52.0
Hungary,101.0,102.0
Iceland,11.0,11.0
Ireland,62.0,65.0
Israel,91.0,92.0
Italy,1387.0,1458.0
Kazakhstan,4.0,4.0
Latvia,16.0,17.0
Lithuania,51.0,51.0
Luxembourg,2.0,2.0
Malta,3.0,3.0
Netherlands,271.0,273.0
Norway,95.0,96.0
Poland,386.0,396.0
Portugal,288.0,302.0
Romania,47.0,47.0
Serbia,3.0,3.0
Slovakia,55.0,60.0
Slovenia,39.0,41.0
Spain,1690.0,1905.0
Sweden,192.0,197.0
Switzerland,161.0,166.0
Türkiye ,165.0,305.0
United Kingdom,1267.0,1350.0
