COUNTRY,Liver,Kidney,Lung,Heart
Albania,0.0,21.0,0.0,0.0
Armenia,2.0,16.0,0.0,0.0
Austria,159.0,306.0,123.0,59.0
Belarus,91.0,336.0,6.0,48.0
Belgium,268.0,417.0,94.0,52.0
Bosnia and Herzegovina,1.0,10.0,0.0,0.0
Bulgaria,13.0,33.0,0.0,2.0
Croatia,104.0,124.0,9.0,34.0
Cyprus,0.0,19.0,0.0,0.0
Czech Republic,186.0,456.0,52.0,74.0
Denmark,50.0,252.0,22.0,24.0
Estonia,4.0,48.0,2.0,0.0
Finland,75.0,268.0,24.0,22.0
France,1225.0,3252.0,322.0,415.0
Georgia,15.0,22.0,0.0,0.0
Germany,834.0,1992.0,283.0,329.0
Greece,24.0,175.0,5.0,13.0
Hungary,59.0,194.0,14.0,34.0
Iceland,0.0,9.0,0.0,0.0
Ireland,35.0,139.0,20.0,10.0
Israel,96.0,476.0,55.0,24.0
Italy,1396.0,2043.0,117.0,252.0
Kazakhstan,40.0,129.0,0.0,2.0
Latvia,1.0,28.0,0.0,2.0
Lithuania,22.0,102.0,1.0,6.0
Malta,0.0,3.0,0.0,0.0
Netherlands,181.0,916.0,92.0,44.0
Norway,98.0,231.0,24.0,23.0
Poland,297.0,770.0,68.0,200.0
Portugal,202.0,429.0,34.0,49.0
Republic of Moldova,4.0,0.0,0.0,0.0
Romania,53.0,156.0,1.0,3.0
Serbia,3.0,5.0,0.0,1.0
Slovakia,26.0,115.0,0.0,17.0
Slovenia,21.0,52.0,15.0,17.0
Spain,1078.0,2950.0,362.0,302.0
Sweden,170.0,445.0,51.0,66.0
Switzerland,151.0,362.0,42.0,33.0
Türkiye ,1528.0,3375.0,21.0,24.0
United Kingdom,821.0,2917.0,105.0,169.0
