COUNTRY,Total Transplants,POPULATION,Transplants per Capita
Albania,21.0,29.0,0.7241379310344828
Argentina,1828.0,456.0,4.008771929824562
Armenia,18.0,3.0,6.0
Australia,1395.0,258.0,5.406976744186046
Austria,647.0,9.0,71.88888888888889
Bangladesh,228.0,1663.0,0.1371016235718581
Belarus,481.0,94.0,5.117021276595745
Belgium,831.0,116.0,7.163793103448276
Bolivia (Plurinational State of),36.0,118.0,0.3050847457627119
Bosnia and Herzegovina,11.0,33.0,0.3333333333333333
Brazil,6921.0,214.0,32.3411214953271
Bulgaria,48.0,69.0,0.6956521739130435
Canada,2756.0,381.0,7.233595800524935
Chile,421.0,192.0,2.1927083333333335
China,19386.0,1452.5,13.346643717728055
Colombia,942.0,513.0,1.8362573099415205
Costa Rica,53.0,51.0,1.0392156862745099
Croatia,271.0,41.0,6.609756097560975
Cuba,0.0,113.0,0.0
Cyprus,19.0,12.0,1.5833333333333333
Czech Republic,768.0,107.0,7.177570093457944
Denmark,348.0,58.0,6.0
Dominican Republic,46.0,11.0,4.181818181818182
Ecuador,117.0,179.0,0.6536312849162011
El Salvador,27.0,65.0,0.4153846153846154
Estonia,54.0,13.0,4.153846153846154
Ethiopia,0.0,1179.0,0.0
Finland,389.0,55.0,7.072727272727272
France,5214.0,654.0,7.972477064220183
Georgia,37.0,4.0,9.25
Germany,3438.0,839.0,4.097735399284863
Greece,217.0,104.0,2.0865384615384617
Guatemala,17.0,182.0,0.09340659340659341
Honduras,1.0,101.0,0.009900990099009901
Hungary,301.0,96.0,3.1354166666666665
Iceland,9.0,3.0,3.0
India,12236.0,1393.4,8.78139801923353
Iran (Islamic Republic of),2782.0,85.0,32.72941176470588
Ireland,204.0,5.0,40.8
Israel,651.0,88.0,7.3977272727272725
Italy,3808.0,604.0,6.304635761589404
Jamaica,2.0,3.0,0.6666666666666666
Japan,2345.0,1261.0,1.8596352101506741
Jordan,206.0,103.0,2.0
Kazakhstan,171.0,19.0,9.0
Kenya,160.0,55.0,2.909090909090909
Kuwait,87.0,43.0,2.0232558139534884
Latvia,31.0,19.0,1.631578947368421
Libyan Arab Jamahiriya,7.0,7.0,1.0
Lithuania,131.0,27.0,4.851851851851852
Luxembourg,0.0,6.0,0.0
Malaysia,93.0,328.0,0.28353658536585363
Malta,3.0,4.0,0.75
Mexico,2141.0,1303.0,1.6431312356101304
Mongolia,66.0,33.0,2.0
Morocco,12.0,373.0,0.032171581769437
Netherlands,1233.0,172.0,7.1686046511627906
New Zealand,280.0,49.0,5.714285714285714
Nicaragua,3.0,67.0,0.04477611940298507
Nigeria,199.0,2114.0,0.09413434247871334
Norway,376.0,55.0,6.836363636363636
Oman,2.0,52.0,0.038461538461538464
Pakistan,1134.0,2252.0,0.5035523978685613
Panama,8.0,44.0,0.18181818181818182
Paraguay,38.0,72.0,0.5277777777777778
Peru,80.0,334.0,0.23952095808383234
Philippines,262.0,111.0,2.3603603603603602
Poland,1335.0,378.0,3.5317460317460316
Portugal,714.0,102.0,7.0
Qatar,55.0,29.0,1.896551724137931
Republic of Korea,4076.0,513.0,7.94541910331384
Republic of Moldova,4.0,4.0,1.0
Romania,213.0,191.0,1.1151832460732984
Saudi Arabia,1535.0,353.0,4.348441926345609
Serbia,9.0,87.0,0.10344827586206896
Singapore,97.0,59.0,1.6440677966101696
Slovakia,158.0,55.0,2.8727272727272726
Slovenia,105.0,21.0,5.0
Spain,4692.0,467.0,10.047109207708779
Sri Lanka,260.0,215.0,1.2093023255813953
Sudan,205.0,449.0,0.45657015590200445
Sweden,732.0,102.0,7.176470588235294
Switzerland,588.0,87.0,6.758620689655173
Syrian Arab Republic,315.0,183.0,1.721311475409836
Thailand,546.0,70.0,7.8
Trinidad and Tobago,3.0,14.0,0.21428571428571427
Türkiye ,4948.0,85.0,58.21176470588235
United Arab Emirates,179.0,10.0,17.9
United Kingdom,4012.0,682.0,5.882697947214076
United States of America,41158.0,3329.0,12.36347251426855
Uruguay,121.0,35.0,3.4571428571428573
